City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
249,paita,-5.0892,-81.1144,27.16,70,100,1.95,PE,1708442440
250,hamilton,39.1834,-84.5333,8.29,59,40,2.06,US,1708442440
251,santyoku,37.4406,129.1708,3.36,94,100,4.59,KR,1708442441
252,solvang,34.5958,-120.1377,13.73,76,100,0.0,US,1708442442
253,alencon,48.4333,0.0833,11.5,73,100,3.07,FR,1708442442
254,katsuura,35.1333,140.3,13.4,84,100,10.04,JP,1708442443
255,draguignan,43.5333,6.4667,19.31,38,4,4.63,FR,1708442334
256,rancharia,-22.2292,-50.8931,29.64,48,1,2.45,BR,1708442313
257,acarau,-2.8856,-40.12,27.5,79,100,2.75,BR,1708442427
258,ilulissat,69.2167,-51.1,-4.99,80,0,1.54,GL,1708442445
259,kapuskasing,49.4169,-82.4331,-14.95,72,20,4.63,CA,1708442446
260,al jawf,29.5,38.75,15.98,36,52,0.53,SA,1708442446
261,igarka,67.4667,86.5833,-15.93,94,100,8.4,RU,1708442447
262,al bayda',32.7627,21.7551,12.38,61,36,3.14,LY,1708442447
263,coquimbo,-29.9533,-71.3436,20.33,72,85,2.25,CL,1708441997
264,nabire,-3.3667,135.4833,24.45,95,100,0.44,ID,1708442448
265,bom jesus,-9.0744,-44.3586,25.53,88,99,1.02,BR,1708442449
266,duba,27.3513,35.6901,21.33,42,100,5.31,SA,1708442450
267,acapulco de juarez,16.8634,-99.8901,24.9,73,0,1.54,MX,1708442157
268,nadym,65.5333,72.5167,-10.41,86,78,13.04,RU,1708442451
269,misratah,32.3754,15.0925,17.52,52,100,2.91,LY,1708442451
270,chernomorskoye,45.5039,32.6997,2.56,71,91,1.89,UA,1708442452
271,tazovsky,67.4667,78.7,-12.11,88,86,10.21,RU,1708442453
272,yaren,-0.5472,166.916,29.26,78,98,7.38,NR,1708442453
273,saldanha,-33.0117,17.9442,20.39,83,51,6.71,ZA,1708442236
274,ust-nera,64.5667,143.2,-30.13,99,100,1.46,RU,1708442454
275,rongelap,11.1635,166.8941,26.63,83,100,9.05,MH,1708442455
276,nacozari de garcia,30.3742,-109.6908,12.9,35,0,1.19,MX,1708442455
277,mazatlan,23.2167,-106.4167,22.17,67,0,0.45,MX,1708442392
278,souillac,-20.5167,57.5167,27.21,74,75,5.66,MU,1708442457
279,thunder bay,48.4001,-89.3168,-3.01,80,75,1.03,CA,1708442458
280,longridge,53.8333,-2.5833,11.7,95,92,9.13,GB,1708442458
281,aasiaat,68.7098,-52.8699,-13.52,98,81,3.11,GL,1708442459
282,jalai nur,49.45,117.7,-27.29,90,4,3.26,CN,1708442460
283,qui nhon,13.7667,109.2333,24.19,93,12,3.28,VN,1708442460
284,margate,51.3813,1.3862,11.04,85,100,6.71,GB,1708442362
285,naze,28.3667,129.4833,20.51,85,82,4.51,JP,1708442461
286,callao,-12.0667,-77.15,29.16,54,0,3.09,PE,1708442157
287,karatuzskoye,53.6072,92.8667,-30.9,99,47,0.89,RU,1708442462
288,kentville,45.0835,-64.4988,-7.0,55,99,5.14,CA,1708442463
289,ar rass,25.8694,43.4973,19.65,25,20,4.27,SA,1708442464
290,emerald,-23.5333,148.1667,22.41,85,100,4.46,AU,1708442465
291,margaret river,-33.95,115.0667,21.01,76,55,4.31,AU,1708442466
292,pacific grove,36.6177,-121.9166,12.36,88,0,2.57,US,1708442466
293,kruisfontein,-34.0033,24.7314,30.74,36,19,5.02,ZA,1708442232
294,fale old settlement,-9.3852,-171.2468,28.57,75,100,2.8,TK,1708442467
295,muranovo,56.1833,37.9,-6.25,95,99,3.09,RU,1708442468
296,talipparamba,12.05,75.35,25.54,78,26,2.04,IN,1708442469
297,holualoa,19.6228,-155.9522,19.88,66,75,2.06,US,1708442469
298,la ronge,55.1001,-105.2842,-18.86,78,75,1.03,CA,1708442470
299,topolobampo,25.6,-109.05,11.95,82,0,2.06,MX,1708442471
300,camabatela,-8.1881,15.375,24.44,68,90,1.35,AO,1708442471
